LB,LT,KT,KM,GRS,HARGA_JUTA
190,140,4,4,2,4000
180,152,4,3,2,4000
180,155,4,3,2,4000
200,135,7,4,2,4000
220,120,4,4,3,4000
150,140,4,2,2,4000
216,135,5,4,1,4000
200,140,4,4,2,4000
144,126,4,2,3,4000
200,146,3,1,1,4000
200,220,7,3,1,4000
216,135,5,4,1,4000
190,175,4,2,1,4000
216,135,5,4,2,4000
200,160,5,4,2,4000
200,160,5,4,2,4000
250,154,6,3,2,4000
180,105,5,4,1,4000
200,140,4,3,2,4000
194,194,3,3,1,4000
200,135,4,3,2,4000
250,199,8,2,2,4000
150,100,3,3,1,4000
200,130,4,3,2,3999
325,226,6,5,1,3975
200,166,4,4,3,3950
260,133,5,5,2,3950
200,148,4,3,1,3950
180,154,4,3,2,3900
179,142,5,4,2,3900
260,146,3,1,1,3900
150,250,4,2,2,3900
170,100,5,3,2,3900
200,130,3,2,2,3900
179,142,5,4,2,3900
200,130,5,4,1,3900
220,135,4,4,1,3900
200,130,3,3,1,3900
230,130,3,4,3,3900
210,130,3,4,2,3900
160,224,4,3,1,3850
200,130,4,4,2,3850
236,137,4,3,2,3850
200,186,3,2,2,3850
150,130,3,2,1,3800
250,186,4,3,0,3800
200,145,8,8,1,3800
250,145,8,8,0,3800
178,239,4,3,4,3800
220,220,3,3,0,3800
200,130,3,3,2,3800
200,140,4,3,1,3800
154,113,4,4,3,3800
160,165,4,3,1,3800
200,135,3,4,0,3800
260,130,6,3,2,3800
211,180,5,4,3,3800
200,130,4,4,2,3800
200,130,3,3,1,3799
150,112,3,5,2,3750
160,110,3,3,2,3750
120,150,2,2,2,3750
200,135,5,3,3,3750
300,180,5,3,2,3750
127,180,4,4,2,3750
150,135,3,2,1,3750
196,196,7,5,2,3750
150,139,5,3,1,3700
150,90,4,4,3,3700
175,89,3,3,2,3700
130,130,3,3,2,3700
400,370,6,2,0,3700
350,180,4,3,1,3700
154,110,3,3,3,3600
150,340,6,4,0,3600
130,163,3,2,2,3600
100,180,4,2,1,3600
170,146,4,3,2,3600
154,110,3,3,2,3600
180,127,4,4,1,3600
100,130,3,3,0,3600
145,200,8,8,1,3600
170,146,4,3,1,3600
200,186,3,2,0,3600
150,135,5,3,3,3600
250,180,4,2,0,3600
125,135,5,3,2,3600
120,139,5,3,1,3600
170,146,3,3,1,3600
250,352,5,1,3,3550
210,172,5,2,2,3500
170,112,3,4,2,3500
170,100,5,3,3,3500
160,118,4,4,2,3500
200,231,4,3,2,3500
178,150,3,2,2,3500
190,100,5,4,2,3500
200,135,3,3,2,3500
135,101,4,2,2,3500
126,135,4,3,0,3500
170,108,5,3,3,3500
300,190,6,6,3,3500
90,110,3,3,1,3500
210,170,5,3,2,3500
150,135,3,3,2,3500
190,100,6,4,2,3500
140,90,3,3,2,3500
200,145,8,8,3,3500
350,100,4,4,2,3500
225,360,4,2,1,3500
350,100,4,4,2,3500
235,140,5,4,2,3500
210,170,6,2,2,3500
250,91,4,2,2,3500
162,149,4,2,2,3500
160,118,4,4,2,3500
335,140,5,4,0,3500
160,110,4,4,2,3500
150,112,3,4,1,3500
192,120,5,4,2,3500
250,90,3,4,2,3500
150,112,4,4,1,3500
230,150,5,4,2,3500
190,135,4,3,2,3500
400,150,5,4,2,3500
240,130,5,6,2,3500
235,140,5,4,1,3500
120,86,5,4,1,3500
180,100,5,4,1,3500
150,135,4,3,1,3500
160,110,3,3,2,3500
170,112,3,4,1,3500
160,118,4,4,2,3500
125,153,3,2,1,3500
250,165,6,4,2,3500
120,90,3,2,2,3500
190,100,5,4,2,3500
150,135,4,2,0,3500
170,112,4,5,2,3500
250,141,5,3,2,3500
110,150,3,2,0,3499
170,112,3,4,2,3450
160,110,3,3,1,3400
100,139,6,4,2,3400
190,110,5,6,2,3400
140,104,4,3,1,3400
170,110,4,4,2,3400
192,120,5,4,2,3375
120,135,4,3,1,3350
180,110,4,4,2,3300
170,154,5,3,2,3300
160,179,4,2,2,3300
120,90,3,3,2,3300
200,145,8,8,2,3300
120,90,5,4,2,3300
150,90,3,2,1,3300
120,90,4,4,1,3300
200,130,9,3,1,3300
120,104,4,3,1,3250
251,146,8,8,2,3250
300,153,8,7,2,3250
200,90,4,3,1,3250
200,157,7,3,1,3250
125,90,3,3,0,3250
250,145,8,8,2,3250
150,130,5,2,1,3250
120,152,4,4,4,3245
150,92,4,4,2,3200
200,104,4,3,1,3200
150,135,5,2,1,3200
150,90,3,2,1,3200
150,80,5,5,1,3200
128,138,3,2,1,3200
150,130,3,2,1,3200
150,80,5,3,1,3200
160,135,4,3,1,3200
170,90,4,4,0,3200
120,86,5,4,2,3200
137,86,4,2,1,3200
210,91,5,3,1,3200
140,110,3,3,2,3200
150,80,5,3,1,3200
150,86,5,4,2,3200
160,90,3,3,2,3200
150,87,4,3,2,3200
150,149,3,2,0,3199
150,135,3,3,1,3195
225,156,4,3,2,3100
150,95,3,3,2,3100
200,90,3,3,1,3100
120,86,5,4,2,3100
140,90,3,2,2,3100
120,137,5,2,0,3100
200,103,3,3,1,3100
172,90,4,3,2,3100
180,103,3,3,2,3100
173,89,3,4,2,3050
250,125,3,2,1,3000
200,200,4,3,0,3000
126,144,4,2,2,3000
180,135,5,4,3,3000
130,170,4,3,1,3000
150,90,4,5,1,3000
160,140,4,3,1,3000
200,90,3,2,2,3000
192,120,4,3,2,3000
300,110,4,3,1,3000
150,139,3,3,1,3000
90,160,5,4,1,3000
150,135,3,1,1,3000
200,125,2,2,1,3000
62,90,5,3,0,3000
150,95,4,4,1,3000
200,150,5,4,2,3000
100,139,3,2,1,3000
150,150,3,2,1,3000
120,90,4,4,1,3000
110,132,3,2,0,3000
150,160,5,2,0,3000
140,135,3,2,1,3000
160,90,4,3,1,3000
150,90,3,2,1,3000
224,124,3,3,1,3000
267,250,4,4,4,3000
139,150,3,3,1,3000
250,150,3,3,2,3000
150,110,4,3,2,3000
140,140,5,3,1,2999
102,102,3,3,2,2999
162,156,5,4,2,2990
162,156,6,4,2,2990
150,134,3,2,1,2950
125,135,2,1,0,2950
135,133,4,3,1,2950
125,135,5,2,1,2900
150,120,2,2,0,2900
120,137,5,2,1,2900
175,135,4,2,0,2900
90,135,2,1,1,2900
160,160,3,3,1,2900
100,139,3,2,2,2900
150,60,4,4,1,2900
175,134,5,2,1,2900
133,126,3,2,1,2900
160,90,4,2,1,2850
102,96,3,2,2,2850
160,135,3,2,2,2850
150,98,4,3,1,2800
150,90,4,3,2,2800
150,103,3,3,2,2800
100,130,3,2,2,2800
160,90,5,3,1,2800
250,90,4,3,2,2800
150,90,3,3,1,2800
200,110,4,3,2,2800
250,90,3,3,1,2800
150,102,3,3,1,2800
192,120,5,4,2,2780
210,91,5,4,1,2750
121,100,4,3,1,2750
120,135,3,2,1,2750
160,90,3,3,1,2700
100,130,5,2,2,2700
135,87,3,2,2,2700
120,142,3,2,1,2700
125,90,3,3,2,2700
135,150,4,2,3,2700
210,91,5,3,0,2700
170,88,5,4,0,2700
72,72,4,4,0,2700
200,122,5,3,1,2700
94,78,3,2,1,2700
90,78,3,2,0,2700
120,92,3,3,2,2700
190,202,4,2,4,2650
125,90,3,4,2,2650
180,202,4,2,4,2650
125,90,3,3,2,2650
150,90,3,2,0,2600
130,75,3,3,1,2600
120,150,3,2,1,2600
160,93,4,4,1,2600
150,90,3,2,2,2600
120,150,3,2,1,2600
210,91,5,4,1,2600
120,90,3,2,1,2600
210,91,5,3,1,2600
180,95,4,2,1,2600
120,142,3,2,1,2600
150,90,3,2,1,2600
140,84,3,2,1,2600
200,135,10,3,2,2600
120,142,4,2,1,2600
147,154,4,3,1,2600
80,130,2,1,0,2600
100,140,3,2,1,2600
160,90,4,2,1,2599
170,76,3,3,2,2590
150,90,4,4,2,2550
150,90,4,4,2,2550
120,60,3,4,1,2500
140,135,4,3,1,2500
121,100,3,2,2,2500
200,100,3,3,2,2500
120,135,4,2,1,2500
165,135,4,3,1,2500
105,54,3,2,1,2500
100,130,3,2,0,2500
200,122,4,2,1,2500
140,78,4,3,1,2500
140,77,3,3,1,2500
150,90,3,2,1,2500
100,150,3,2,0,2500
160,135,3,2,2,2500
120,100,3,2,1,2500
120,90,4,1,1,2500
140,88,4,3,0,2500
94,78,2,2,2,2500
165,135,4,3,1,2458
150,135,5,2,0,2450
100,130,4,2,1,2400
120,149,3,2,0,2400
147,154,3,2,1,2400
75,101,2,1,2,2400
154,147,3,2,1,2400
147,154,3,2,0,2400
147,154,2,2,0,2400
147,154,3,2,1,2400
160,80,4,3,1,2350
130,130,4,3,1,2350
80,90,2,2,1,2333
130,150,4,1,0,2300
107,54,3,2,1,2300
140,77,4,3,1,2300
150,132,4,3,1,2300
144,135,4,2,2,2300
160,135,4,3,1,2300
100,90,2,2,1,2300
100,140,3,2,1,2300
150,132,4,3,1,2300
135,135,4,4,0,2250
130,150,2,1,0,2250
150,82,5,2,2,2200
120,100,3,2,1,2200
70,98,2,1,0,2200
120,220,5,3,1,2200
160,100,3,2,1,2200
226,95,5,3,2,2200
100,104,2,1,0,2150
128,135,3,2,1,2150
120,135,3,2,1,2150
188,125,6,4,1,2100
160,120,6,3,1,2100
100,126,2,2,1,2100
100,126,2,2,1,2100
162,162,3,3,2,2100
100,90,3,2,1,2000
100,111,2,2,1,2000
128,148,4,3,2,2000
130,100,3,2,1,2000
80,90,2,1,1,2000
120,94,2,2,0,2000
125,133,4,2,1,1999
164,72,4,2,2,1980
125,130,4,2,1,1950
120,90,3,2,1,1900
125,133,3,3,1,1900
130,135,5,2,1,1900
135,135,3,3,2,1900
150,135,4,2,1,1899
80,90,3,2,0,1850
90,100,2,1,0,1800
90,84,3,2,0,1800
105,90,3,2,1,1800
85,90,2,1,1,1750
100,80,3,2,0,1700
154,204,5,2,0,1700
80,90,2,2,1,1700
80,80,4,3,0,1600
80,80,4,3,1,1600
150,90,3,2,1,1600
200,170,7,2,0,1500
200,170,7,2,0,1500
100,80,4,2,0,1500
90,121,3,2,0,1500
200,170,7,2,0,1500
120,90,3,2,1,1500
332,125,7,7,0,1300
100,75,3,2,0,1300
100,90,3,2,0,1300
120,136,5,2,0,1250
480,312,4,2,1,1250
102,102,2,1,0,1100
100,50,2,1,0,1100
70,70,2,1,0,1100
63,300,3,1,1,1100
140,128,5,3,1,1000
130,92,4,2,0,950
100,60,3,1,0,950
100,56,3,2,0,900
56,56,4,2,0,850
78,69,4,2,0,850
80,78,3,1,0,750
78,80,3,2,0,750
100,78,3,1,0,750
75,75,2,3,0,700
90,50,3,1,0,690
50,55,2,1,0,650
60,30,2,2,0,600
60,30,2,1,0,600
40,25,2,2,0,430
